Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
harry potter and the deathly hallows: part 2,nan,nan,81.0,nan,nan
alien,nan,nan,84.0,nan,nan
kingdom of heaven,nan,nan,57.0,nan,nan
salò or the 120 days of sodom,nan,nan,76.0,nan,nan
you can live forever,nan,68.0,nan,nan,nan
edge of tomorrow,nan,nan,66.0,nan,nan
the banshees of inisherin,nan,nan,77.0,nan,nan
final cut,2023-07-14,51.0,nan,70,64
john wick,nan,nan,42.0,nan,nan
happiness for beginners,2023-07-21,48.0,nan,32,52
not another teen movie,nan,nan,80.0,nan,nan
mad heidi,nan,nan,nan,nan,nan
white balls on walls,nan,nan,nan,nan,nan
el agua,nan,nan,nan,nan,nan
aliens,nan,nan,71.0,nan,nan
queens of the qing dynasty,nan,83.0,nan,nan,nan
gray matter,nan,nan,48.0,nan,nan
beau is afraid,nan,nan,66.0,nan,nan
human flowers of flesh,nan,57.0,nan,nan,nan
the five demands,nan,nan,nan,nan,nan
the whale,nan,nan,76.0,nan,nan
where the crawdads sing,nan,nan,67.0,nan,nan
cars,nan,nan,72.0,nan,nan
inglourious basterds,nan,nan,82.0,nan,nan
rrr,nan,nan,78.0,nan,nan
in the company of rose,nan,nan,nan,nan,nan
the fast and the furious,nan,nan,61.0,nan,nan
sympathy for the devil,2023-07-28,54.0,nan,63,71
the pale blue eye,nan,nan,68.0,nan,nan
tufang,2023-07-21,nan,nan,nan,nan
malum,nan,nan,nan,nan,nan
the wolf of wall street,nan,nan,92.0,nan,nan
jackie i am 21,nan,nan,nan,nan,nan
national lampoon's vacation,nan,nan,85.0,nan,nan
